Cpu usado (%),Memória usada (MiB)
24.975,85.234375
24.975,85.4921875
25.0,85.4921875
24.975,85.75
24.975,85.75
25.225,86.0078125
24.975,86.0078125
24.975,86.265625
24.975,86.265625
24.975,86.5234375
24.975,86.78125
24.975,86.78125
24.975,87.0390625
25.225,87.0390625
24.975,87.296875
24.975,87.5546875
24.975,87.5546875
25.225,87.8125
24.975,87.8125
25.0,88.0703125
24.975,88.0703125
25.0,88.328125
24.975,88.328125
24.975,88.5859375
24.975,88.84375
24.975,88.84375
24.975,89.1015625
24.975,89.359375
24.975,89.359375
24.975,89.6171875
24.975,89.875
25.0,89.875
24.975,90.1328125
24.975,90.1328125
24.975,90.390625
24.975,90.390625
24.975,90.6484375
25.225,90.6484375
24.975,91.421875
24.975,91.421875
24.975,91.421875
24.975,91.421875
24.975,91.421875
25.225,91.421875
24.975,91.421875
24.975,91.421875
24.975,91.6796875
24.975,91.6796875
24.975,91.9375
24.975,92.1953125
24.975,92.1953125
25.0,92.453125
24.975,92.453125
25.225,92.7109375
24.975,92.96875
24.975,92.96875
24.975,93.2265625
24.975,93.2265625
24.975,93.484375
24.975,93.7421875
24.975,93.7421875
24.975,94.0
25.225,94.0
24.975,94.2578125
24.975,94.2578125
24.975,94.515625
24.975,94.7734375
24.975,94.7734375
24.975,95.03125
24.975,95.03125
24.975,95.2890625
24.975,95.546875
24.975,95.546875
24.975,95.8046875
25.225,95.8046875
24.975,96.0625
25.0,96.3203125
24.975,96.3203125
25.0,96.578125
24.975,96.8359375
24.975,96.8359375
25.225,97.09375
24.975,97.09375
24.975,97.3515625
24.975,97.3515625
24.975,97.3515625
24.975,97.609375
24.975,98.3828125
24.975,98.3828125
24.975,98.3828125
25.225,98.3828125
24.975,98.3828125
24.975,98.3828125
24.975,98.3828125
24.975,98.3828125
24.975,98.640625
24.975,98.640625
24.975,98.8984375
24.975,99.15625
25.225,99.15625
24.975,99.4140625
24.975,99.4140625
24.975,99.671875
24.975,99.9296875
24.975,99.9296875
25.225,100.1875
25.0,100.1875
24.975,100.4453125
24.975,100.4453125
24.975,100.703125
24.975,100.9609375
25.0,100.9609375
24.975,101.21875
24.975,101.21875
25.0,101.4765625
25.225,101.4765625
25.0,101.734375
24.975,101.734375
24.975,101.9921875
25.225,102.25
24.975,102.25
24.975,102.5078125
24.975,102.765625
24.975,102.765625
24.975,103.0234375
24.975,103.28125
24.975,103.28125
24.975,103.5390625
24.975,103.5390625
24.975,103.796875
24.975,103.796875
24.975,104.0546875
25.0,104.0546875
24.975,104.0546875
24.725,104.0546875
25.25,105.0859375
24.975,105.0859375
24.975,105.0859375
24.975,105.0859375
25.0,105.0859375
24.975,105.0859375
24.975,105.0859375
24.975,105.0859375
24.975,105.0859375
24.975,105.34375
25.225,105.34375
24.975,105.34375
24.975,105.6015625
25.225,105.859375
24.975,105.859375
24.975,106.1171875
24.975,106.1171875
24.975,106.375
24.975,106.375
24.975,106.6328125
24.975,106.890625
24.975,106.890625
25.225,107.1484375
24.725,107.1484375
24.975,107.40625
25.225,107.6640625
24.975,107.6640625
24.975,107.921875
24.975,107.921875
24.975,108.1796875
24.975,108.1796875
25.225,108.4375
24.975,108.4375
24.975,108.6953125
24.975,108.6953125
25.25,108.953125
24.975,109.2109375
24.975,109.2109375
24.975,109.46875
24.975,109.46875
24.975,109.7265625
24.975,109.984375
24.975,109.984375
24.975,110.2421875
24.975,110.2421875
24.975,110.5
24.975,110.5
24.975,110.5
24.975,110.7578125
24.975,111.53125
24.975,111.53125
24.975,111.53125
24.975,111.53125
25.225,111.53125
24.975,111.53125
24.975,111.53125
24.975,111.53125
25.0,111.53125
24.725,111.7890625
24.975,111.7890625
25.225,112.046875
24.975,112.046875
24.975,112.3046875
25.0,112.3046875
25.225,112.5625
24.975,112.8203125
24.975,112.8203125
24.975,113.078125
24.975,113.078125
25.225,113.3359375
24.975,113.3359375
24.725,113.59375
25.225,113.59375
24.975,113.8515625
25.0,113.8515625
24.975,114.109375
25.0,114.3671875
24.975,114.3671875
25.0,114.625
24.975,114.625
24.975,114.8828125
24.975,114.8828125
24.975,115.140625
25.225,115.140625
24.975,115.3984375
24.975,115.3984375
24.975,115.65625
24.975,115.9140625
24.975,115.9140625
24.975,116.171875
24.975,116.171875
24.975,116.4296875
25.225,116.4296875
24.975,116.6875
24.975,116.6875
24.975,116.9453125
24.975,116.9453125
24.975,116.9453125
24.975,117.203125
24.975,117.203125
25.225,117.203125
24.975,117.4609375
24.975,117.4609375
24.975,118.234375
25.225,118.234375
24.975,118.234375
25.0,118.234375
25.0,118.234375
24.975,118.234375
24.975,118.234375
24.975,118.234375
24.975,118.234375
24.975,118.4921875
24.975,118.4921875
24.975,118.75
24.975,119.0078125
24.975,119.0078125
25.225,119.265625
24.975,119.265625
24.975,119.5234375
24.975,119.5234375
24.975,119.78125
24.975,119.78125
24.975,120.0390625
25.25,120.0390625
24.725,120.296875
24.975,120.296875
25.225,120.296875
24.975,120.5546875
24.975,120.8125
24.975,120.8125
24.975,121.0703125
24.975,121.0703125
25.225,121.328125
24.975,121.328125
24.975,121.5859375
24.975,121.84375
24.975,121.84375
24.975,122.1015625
24.975,122.1015625
24.975,122.359375
24.975,122.359375
25.225,122.6171875
25.0,122.6171875
24.975,122.875
24.975,123.1328125
24.975,123.1328125
24.975,123.390625
25.0,123.390625
25.225,123.390625
24.975,123.6484375
24.725,123.6484375
25.225,123.6484375
24.975,123.90625
24.975,123.90625
24.975,123.90625
24.975,124.1640625
24.975,124.1640625
25.225,124.1640625
24.975,124.9375
24.975,124.9375
