Cpu usado (%),Memória usada (MiB)
25.225,72.66015625
24.975,72.66015625
24.975,72.66015625
24.975,72.91796875
24.975,72.91796875
24.975,73.17578125
24.975,73.17578125
24.975,73.17578125
24.975,73.43359375
25.225,73.43359375
24.975,73.69140625
24.975,73.69140625
24.975,73.94921875
24.975,73.94921875
24.975,73.94921875
24.975,74.20703125
24.975,74.20703125
24.975,74.46484375
24.975,74.46484375
25.25,74.46484375
24.975,74.72265625
24.975,74.72265625
24.975,74.98046875
24.975,74.98046875
24.975,74.98046875
24.975,75.23828125
24.975,75.23828125
24.975,75.23828125
25.225,75.49609375
25.0,75.49609375
24.975,75.49609375
24.975,75.75390625
24.975,75.75390625
24.975,76.01171875
24.975,76.01171875
25.25,76.26953125
24.975,76.26953125
24.975,76.26953125
25.225,76.52734375
24.975,76.52734375
24.975,76.78515625
24.975,76.78515625
24.975,76.78515625
24.975,77.04296875
24.975,77.04296875
24.975,77.04296875
24.975,77.30078125
24.975,77.30078125
24.975,77.55859375
25.225,77.55859375
24.975,77.55859375
24.975,77.81640625
24.975,77.81640625
24.975,78.07421875
24.975,78.07421875
24.975,78.33203125
24.975,78.33203125
25.225,78.33203125
24.975,78.58984375
24.975,78.58984375
24.975,78.58984375
24.975,78.84765625
24.975,78.84765625
24.975,79.10546875
24.975,79.10546875
24.975,79.10546875
24.975,79.36328125
24.975,79.36328125
24.975,79.62109375
25.225,79.62109375
24.975,79.87890625
24.975,79.87890625
24.975,79.87890625
24.975,80.13671875
24.975,80.13671875
25.225,80.39453125
24.975,80.39453125
24.975,80.39453125
24.975,80.65234375
24.975,80.65234375
24.975,80.65234375
24.975,80.91015625
24.975,80.91015625
24.975,81.16796875
25.225,81.16796875
25.0,81.42578125
25.0,81.42578125
24.975,81.42578125
24.975,81.68359375
25.25,81.68359375
24.975,81.68359375
24.975,81.94140625
24.975,81.94140625
24.975,82.19921875
24.975,82.19921875
24.975,82.45703125
24.975,82.45703125
24.975,82.45703125
25.225,82.71484375
24.975,82.71484375
24.975,82.71484375
24.975,82.97265625
